route_id,agency_id,route_short_name,route_long_name,route_type
R-NYD,1,ΛΕΥ-ΝΥΔ,Λευκάδα - Λυγιά - Νικιάνα - Νυδρί,3
R-VAS,1,ΛΕΥ-ΒΑΣ,Λευκάδα - Βασιλική,3
R-AGN,1,ΛΕΥ-ΑΓΝ,Λευκάδα - Αγ. Νικήτας,3
R-KTH,1,ΛΕΥ-ΚΑΘ,Λευκάδα - Παραλία Κάθισμα,3
R-KST,1,ΛΕΥ-ΚΑΣ,Λευκάδα - Κάστρο Γύρα,3
R-VLY,1,ΛΕΥ-ΒΛΥ,Λευκάδα - Βλυχό,3
R-KAL,1,ΛΕΥ-ΚΑΛ,Λευκάδα - Καλαμίτσι,3
R-KAR,1,ΛΕΥ-ΚΑΡ,Λευκάδα - Καρυά,3
R-EGK,1,ΛΕΥ-ΕΓΚ,Λευκάδα - Εγκλουβή,3
R-POR,1,ΛΕΥ-ΠΟΡ,Λευκάδα - Πόρος - Κατωχώρι,3
R-SYV,1,ΛΕΥ-ΣΥΒ,Λευκάδα - Σύβοτα,3
R-FTE,1,ΛΕΥ-ΦΤΕ,Λευκάδα - Φτερνό - Βουρνικά - Σύβρος,3
R-AGI,1,ΛΕΥ-ΑΓΗ,Λευκάδα - Σύβρο - Αγ. Ηλία,3
R-ATH,1,ΛΕΥ-ΑΘΑ,Λευκάδα - Αθάνι,3
