route_id,service_id,trip_id,trip_headsign,direction_id
R-VAS,WEEKDAY,T-VAS-OUT-1,Βασιλική,0
R-VAS,WEEKDAY,T-VAS-OUT-2,Βασιλική,0
R-VAS,WEEKDAY,T-VAS-OUT-3,Βασιλική,0
R-VAS,WEEKDAY,T-VAS-OUT-4,Βασιλική,0
R-VAS,WEEKDAY,T-VAS-OUT-5,Βασιλική,0
R-VAS,WEEKDAY,T-VAS-IN-1,Λευκάδα,1
R-VAS,WEEKDAY,T-VAS-IN-2,Λευκάδα,1
R-VAS,WEEKDAY,T-VAS-IN-3,Λευκάδα,1
R-VAS,WEEKDAY,T-VAS-IN-4,Λευκάδα,1
R-VAS,WEEKDAY,T-VAS-IN-5,Λευκάδα,1
R-NYD,WEEKDAY,T-NYD-OUT-1,Νυδρί,0
R-NYD,WEEKDAY,T-NYD-OUT-2,Νυδρί,0
R-NYD,WEEKDAY,T-NYD-OUT-3,Νυδρί,0
R-NYD,WEEKDAY,T-NYD-OUT-4,Νυδρί,0
R-NYD,WEEKDAY,T-NYD-OUT-5,Νυδρί,0
R-NYD,WEEKDAY,T-NYD-OUT-6,Νυδρί,0
R-NYD,WEEKDAY,T-NYD-OUT-7,Νυδρί,0
R-NYD,WEEKDAY,T-NYD-OUT-8,Νυδρί,0
R-NYD,WEEKDAY,T-NYD-OUT-9,Νυδρί,0
R-NYD,WEEKDAY,T-NYD-OUT-10,Νυδρί,0
R-NYD,WEEKDAY,T-NYD-OUT-11,Νυδρί,0
R-NYD,WEEKDAY,T-NYD-OUT-12,Νυδρί,0
R-NYD,WEEKDAY,T-NYD-IN-1,Λευκάδα,1
R-NYD,WEEKDAY,T-NYD-IN-2,Λευκάδα,1
R-NYD,WEEKDAY,T-NYD-IN-3,Λευκάδα,1
R-NYD,WEEKDAY,T-NYD-IN-4,Λευκάδα,1
R-NYD,WEEKDAY,T-NYD-IN-5,Λευκάδα,1
R-NYD,WEEKDAY,T-NYD-IN-6,Λευκάδα,1
R-NYD,WEEKDAY,T-NYD-IN-7,Λευκάδα,1
R-NYD,WEEKDAY,T-NYD-IN-8,Λευκάδα,1
R-NYD,WEEKDAY,T-NYD-IN-9,Λευκάδα,1
R-NYD,WEEKDAY,T-NYD-IN-10,Λευκάδα,1
R-NYD,WEEKDAY,T-NYD-IN-11,Λευκάδα,1
R-NYD,WEEKDAY,T-NYD-IN-12,Λευκάδα,1
R-NYD,WEEKDAY,T-NYD-IN-13,Λευκάδα,1
R-AGN,WEEKDAY,T-AGN-OUT-1,Αγ. Νικήτας,0
R-AGN,WEEKDAY,T-AGN-OUT-2,Αγ. Νικήτας,0
R-AGN,WEEKDAY,T-AGN-OUT-3,Αγ. Νικήτας,0
R-AGN,WEEKDAY,T-AGN-OUT-4,Αγ. Νικήτας,0
R-AGN,WEEKDAY,T-AGN-OUT-5,Αγ. Νικήτας,0
R-AGN,WEEKDAY,T-AGN-OUT-6,Αγ. Νικήτας,0
R-AGN,WEEKDAY,T-AGN-IN-1,Λευκάδα,1
R-AGN,WEEKDAY,T-AGN-IN-2,Λευκάδα,1
R-AGN,WEEKDAY,T-AGN-IN-3,Λευκάδα,1
R-AGN,WEEKDAY,T-AGN-IN-4,Λευκάδα,1
R-AGN,WEEKDAY,T-AGN-IN-5,Λευκάδα,1
R-AGN,WEEKDAY,T-AGN-IN-6,Λευκάδα,1
R-KTH,WEEKDAY,T-KTH-OUT-1,Παραλία Κάθισμα,0
R-KTH,WEEKDAY,T-KTH-OUT-2,Παραλία Κάθισμα,0
R-KTH,WEEKDAY,T-KTH-OUT-3,Παραλία Κάθισμα,0
R-KTH,WEEKDAY,T-KTH-OUT-4,Παραλία Κάθισμα,0
R-KTH,WEEKDAY,T-KTH-OUT-5,Παραλία Κάθισμα,0
R-KTH,WEEKDAY,T-KTH-IN-1,Λευκάδα,1
R-KTH,WEEKDAY,T-KTH-IN-2,Λευκάδα,1
R-KTH,WEEKDAY,T-KTH-IN-3,Λευκάδα,1
R-KTH,WEEKDAY,T-KTH-IN-4,Λευκάδα,1
R-KTH,WEEKDAY,T-KTH-IN-5,Λευκάδα,1
R-VLY,WEEKDAY,T-VLY-OUT-1,Βλυχό,0
R-VLY,WEEKDAY,T-VLY-OUT-2,Βλυχό,0
R-VLY,WEEKDAY,T-VLY-OUT-3,Βλυχό,0
R-VLY,WEEKDAY,T-VLY-OUT-4,Βλυχό,0
R-VLY,WEEKDAY,T-VLY-OUT-5,Βλυχό,0
R-VLY,WEEKDAY,T-VLY-OUT-6,Βλυχό,0
R-VLY,WEEKDAY,T-VLY-IN-1,Λευκάδα,1
R-VLY,WEEKDAY,T-VLY-IN-2,Λευκάδα,1
R-VLY,WEEKDAY,T-VLY-IN-3,Λευκάδα,1
R-VLY,WEEKDAY,T-VLY-IN-4,Λευκάδα,1
R-VLY,WEEKDAY,T-VLY-IN-5,Λευκάδα,1
R-VLY,WEEKDAY,T-VLY-IN-6,Λευκάδα,1
R-VLY,WEEKDAY,T-VLY-IN-7,Λευκάδα,1
R-KAR,WEEKDAY,T-KAR-OUT-1,Καρυά,0
R-KAR,WEEKDAY,T-KAR-OUT-2,Καρυά,0
R-KAR,WEEKDAY,T-KAR-OUT-3,Καρυά,0
R-KAR,WEEKDAY,T-KAR-OUT-4,Καρυά,0
R-KAR,WEEKDAY,T-KAR-IN-1,Λευκάδα,1
R-KAR,WEEKDAY,T-KAR-IN-2,Λευκάδα,1
R-KAR,WEEKDAY,T-KAR-IN-3,Λευκάδα,1
R-KAR,WEEKDAY,T-KAR-IN-4,Λευκάδα,1
R-KST,WEEKDAY,T-KST-OUT-1,Κάστρο Γύρα,0
R-KST,WEEKDAY,T-KST-OUT-2,Κάστρο Γύρα,0
R-KST,WEEKDAY,T-KST-OUT-3,Κάστρο Γύρα,0
R-KST,WEEKDAY,T-KST-OUT-4,Κάστρο Γύρα,0
R-KST,WEEKDAY,T-KST-IN-1,Λευκάδα,1
R-KST,WEEKDAY,T-KST-IN-2,Λευκάδα,1
R-KST,WEEKDAY,T-KST-IN-3,Λευκάδα,1
R-KST,WEEKDAY,T-KST-IN-4,Λευκάδα,1
R-KAL,MON_THU,T-KAL-OUT-1,Καλαμίτσι,0
R-KAL,MON_THU,T-KAL-OUT-2,Καλαμίτσι,0
R-KAL,MON_THU,T-KAL-IN-1,Λευκάδα,1
R-KAL,MON_THU,T-KAL-IN-2,Λευκάδα,1
R-EGK,TUE_FRI,T-EGK-OUT-1,Εγκλουβή,0
R-EGK,TUE_FRI,T-EGK-OUT-2,Εγκλουβή,0
R-EGK,TUE_FRI,T-EGK-IN-1,Λευκάδα,1
R-EGK,TUE_FRI,T-EGK-IN-2,Λευκάδα,1
R-POR,WEEKDAY,T-POR-OUT-1,Πόρος,0
R-POR,WEEKDAY,T-POR-OUT-2,Πόρος,0
R-POR,WEEKDAY,T-POR-IN-1,Λευκάδα,1
R-SYV,MON_THU,T-SIV-OUT-1,Σύβοτα,0
R-SYV,MON_THU,T-SIV-OUT-2,Σύβοτα,0
R-SYV,MON_THU,T-SIV-IN-1,Λευκάδα,1
R-SYV,MON_THU,T-SIV-IN-2,Λευκάδα,1
R-FTE,MON_WED_THU,T-SYV-OUT-1A,Σύβρος,0
R-FTE,TUE_FRI,T-SYV-OUT-1B,Σύβρος,0
R-FTE,WEEKDAY,T-SYV-OUT-2,Σύβρος,0
R-FTE,WEEKDAY,T-SYV-IN-1,Λευκάδα,1
R-FTE,WEEKDAY,T-SYV-IN-2,Λευκάδα,1
R-GEN,WEEKDAY,T-GEN-OUT-1,Γένι,0
R-GEN,WEEKDAY,T-GEN-OUT-2,Γένι,0
R-GEN,WEEKDAY,T-GEN-IN-1,Λευκάδα,1
R-GEN,WEEKDAY,T-GEN-IN-2,Λευκάδα,1
R-AGI,TUE_FRI,T-AGI-OUT-1,Αγ. Ηλίας,0
R-AGI,TUE_FRI,T-AGI-OUT-2,Αγ. Ηλίας,0
R-AGI,TUE_FRI,T-AGI-IN-1,Λευκάδα,1
R-AGI,TUE_FRI,T-AGI-IN-2,Λευκάδα,1
R-ATH,TUE_FRI,T-ATH-OUT-1,Αθάνι,0
R-ATH,TUE_FRI,T-ATH-OUT-2,Αθάνι,0
R-ATH,TUE_FRI,T-ATH-IN-1,Λευκάδα,1
R-ATH,TUE_FRI,T-ATH-IN-2,Λευκάδα,1
R-NYD,SATURDAY,T-NYD-SAT-OUT-1,Νυδρί,0
R-NYD,SATURDAY,T-NYD-SAT-OUT-2,Νυδρί,0
R-NYD,SATURDAY,T-NYD-SAT-OUT-3,Νυδρί,0
R-NYD,SATURDAY,T-NYD-SAT-OUT-4,Νυδρί,0
R-NYD,SATURDAY,T-NYD-SAT-OUT-5,Νυδρί,0
R-NYD,SATURDAY,T-NYD-SAT-OUT-6,Νυδρί,0
R-NYD,SATURDAY,T-NYD-SAT-OUT-7,Νυδρί,0
R-NYD,SATURDAY,T-NYD-SAT-OUT-8,Νυδρί,0
R-NYD,SATURDAY,T-NYD-SAT-OUT-9,Νυδρί,0
R-NYD,SATURDAY,T-NYD-SAT-OUT-10,Νυδρί,0
R-NYD,SATURDAY,T-NYD-SAT-OUT-11,Νυδρί,0
R-NYD,SATURDAY,T-NYD-SAT-IN-1,Λευκάδα,1
R-NYD,SATURDAY,T-NYD-SAT-IN-2,Λευκάδα,1
R-NYD,SATURDAY,T-NYD-SAT-IN-3,Λευκάδα,1
R-NYD,SATURDAY,T-NYD-SAT-IN-4,Λευκάδα,1
R-NYD,SATURDAY,T-NYD-SAT-IN-5,Λευκάδα,1
R-NYD,SATURDAY,T-NYD-SAT-IN-6,Λευκάδα,1
R-NYD,SATURDAY,T-NYD-SAT-IN-7,Λευκάδα,1
R-NYD,SATURDAY,T-NYD-SAT-IN-8,Λευκάδα,1
R-NYD,SATURDAY,T-NYD-SAT-IN-9,Λευκάδα,1
R-NYD,SATURDAY,T-NYD-SAT-IN-10,Λευκάδα,1
R-NYD,SATURDAY,T-NYD-SAT-IN-11,Λευκάδα,1
R-NYD,SATURDAY,T-NYD-SAT-IN-12,Λευκάδα,1
R-NYD,SUNDAY,T-NYD-SUN-OUT-1,Νυδρί,0
R-NYD,SUNDAY,T-NYD-SUN-OUT-2,Νυδρί,0
R-NYD,SUNDAY,T-NYD-SUN-OUT-3,Νυδρί,0
R-NYD,SUNDAY,T-NYD-SUN-OUT-4,Νυδρί,0
R-NYD,SUNDAY,T-NYD-SUN-OUT-5,Νυδρί,0
R-NYD,SUNDAY,T-NYD-SUN-OUT-6,Νυδρί,0
R-NYD,SUNDAY,T-NYD-SUN-OUT-7,Νυδρί,0
R-NYD,SUNDAY,T-NYD-SUN-OUT-8,Νυδρί,0
R-NYD,SUNDAY,T-NYD-SUN-OUT-9,Νυδρί,0
R-NYD,SUNDAY,T-NYD-SUN-OUT-10,Νυδρί,0
R-NYD,SUNDAY,T-NYD-SUN-IN-1,Λευκάδα,1
R-NYD,SUNDAY,T-NYD-SUN-IN-2,Λευκάδα,1
R-NYD,SUNDAY,T-NYD-SUN-IN-3,Λευκάδα,1
R-NYD,SUNDAY,T-NYD-SUN-IN-4,Λευκάδα,1
R-NYD,SUNDAY,T-NYD-SUN-IN-5,Λευκάδα,1
R-NYD,SUNDAY,T-NYD-SUN-IN-6,Λευκάδα,1
R-NYD,SUNDAY,T-NYD-SUN-IN-7,Λευκάδα,1
R-NYD,SUNDAY,T-NYD-SUN-IN-8,Λευκάδα,1
R-NYD,SUNDAY,T-NYD-SUN-IN-9,Λευκάδα,1
R-NYD,SUNDAY,T-NYD-SUN-IN-10,Λευκάδα,1
R-VAS,SATURDAY,T-VAS-SAT-OUT-1,Βασιλική,0
R-VAS,SATURDAY,T-VAS-SAT-OUT-2,Βασιλική,0
R-VAS,SATURDAY,T-VAS-SAT-OUT-3,Βασιλική,0
R-VAS,SATURDAY,T-VAS-SAT-OUT-4,Βασιλική,0
R-VAS,SATURDAY,T-VAS-SAT-IN-1,Λευκάδα,1
R-VAS,SATURDAY,T-VAS-SAT-IN-2,Λευκάδα,1
R-VAS,SATURDAY,T-VAS-SAT-IN-3,Λευκάδα,1
R-VAS,SATURDAY,T-VAS-SAT-IN-4,Λευκάδα,1
R-VAS,SUNDAY,T-VAS-SUN-OUT-1,Βασιλική,0
R-VAS,SUNDAY,T-VAS-SUN-OUT-2,Βασιλική,0
R-VAS,SUNDAY,T-VAS-SUN-OUT-3,Βασιλική,0
R-VAS,SUNDAY,T-VAS-SUN-IN-1,Λευκάδα,1
R-VAS,SUNDAY,T-VAS-SUN-IN-2,Λευκάδα,1
R-VAS,SUNDAY,T-VAS-SUN-IN-3,Λευκάδα,1
R-AGN,SATURDAY,T-AGN-SAT-OUT-1,Αγ. Νικήτας,0
R-AGN,SATURDAY,T-AGN-SAT-OUT-2,Αγ. Νικήτας,0
R-AGN,SATURDAY,T-AGN-SAT-OUT-3,Αγ. Νικήτας,0
R-AGN,SATURDAY,T-AGN-SAT-OUT-4,Αγ. Νικήτας,0
R-AGN,SATURDAY,T-AGN-SAT-OUT-5,Αγ. Νικήτας,0
R-AGN,SATURDAY,T-AGN-SAT-OUT-6,Αγ. Νικήτας,0
R-AGN,SATURDAY,T-AGN-SAT-IN-1,Λευκάδα,1
R-AGN,SATURDAY,T-AGN-SAT-IN-2,Λευκάδα,1
R-AGN,SATURDAY,T-AGN-SAT-IN-3,Λευκάδα,1
R-AGN,SATURDAY,T-AGN-SAT-IN-4,Λευκάδα,1
R-AGN,SATURDAY,T-AGN-SAT-IN-5,Λευκάδα,1
R-AGN,SATURDAY,T-AGN-SAT-IN-6,Λευκάδα,1
R-AGN,SUNDAY,T-AGN-SUN-OUT-1,Αγ. Νικήτας,0
R-AGN,SUNDAY,T-AGN-SUN-OUT-2,Αγ. Νικήτας,0
R-AGN,SUNDAY,T-AGN-SUN-OUT-3,Αγ. Νικήτας,0
R-AGN,SUNDAY,T-AGN-SUN-OUT-4,Αγ. Νικήτας,0
R-AGN,SUNDAY,T-AGN-SUN-OUT-5,Αγ. Νικήτας,0
R-AGN,SUNDAY,T-AGN-SUN-IN-1,Λευκάδα,1
R-AGN,SUNDAY,T-AGN-SUN-IN-2,Λευκάδα,1
R-AGN,SUNDAY,T-AGN-SUN-IN-3,Λευκάδα,1
R-AGN,SUNDAY,T-AGN-SUN-IN-4,Λευκάδα,1
R-AGN,SUNDAY,T-AGN-SUN-IN-5,Λευκάδα,1
R-KTH,SATURDAY,T-KTH-SAT-OUT-1,Παραλία Κάθισμα,0
R-KTH,SATURDAY,T-KTH-SAT-OUT-2,Παραλία Κάθισμα,0
R-KTH,SATURDAY,T-KTH-SAT-OUT-3,Παραλία Κάθισμα,0
R-KTH,SATURDAY,T-KTH-SAT-OUT-4,Παραλία Κάθισμα,0
R-KTH,SATURDAY,T-KTH-SAT-OUT-5,Παραλία Κάθισμα,0
R-KTH,SATURDAY,T-KTH-SAT-IN-1,Λευκάδα,1
R-KTH,SATURDAY,T-KTH-SAT-IN-2,Λευκάδα,1
R-KTH,SATURDAY,T-KTH-SAT-IN-3,Λευκάδα,1
R-KTH,SATURDAY,T-KTH-SAT-IN-4,Λευκάδα,1
R-KTH,SATURDAY,T-KTH-SAT-IN-5,Λευκάδα,1
R-KTH,SUNDAY,T-KTH-SUN-OUT-1,Παραλία Κάθισμα,0
R-KTH,SUNDAY,T-KTH-SUN-OUT-2,Παραλία Κάθισμα,0
R-KTH,SUNDAY,T-KTH-SUN-OUT-3,Παραλία Κάθισμα,0
R-KTH,SUNDAY,T-KTH-SUN-OUT-4,Παραλία Κάθισμα,0
R-KTH,SUNDAY,T-KTH-SUN-OUT-5,Παραλία Κάθισμα,0
R-KTH,SUNDAY,T-KTH-SUN-IN-1,Λευκάδα,1
R-KTH,SUNDAY,T-KTH-SUN-IN-2,Λευκάδα,1
R-KTH,SUNDAY,T-KTH-SUN-IN-3,Λευκάδα,1
