trip_id,arrival_time,departure_time,stop_id,stop_sequence
T-VAS-OUT-1,05:40:00,05:40:00,STOP-1,1
T-VAS-OUT-1,05:50:00,05:50:00,STOP-2,2
T-VAS-OUT-1,06:00:00,06:00:00,STOP-3,3
T-VAS-OUT-1,06:10:00,06:10:00,STOP-4,4
T-VAS-OUT-1,06:40:00,06:40:00,STOP-5,5
T-VAS-OUT-2,09:30:00,09:30:00,STOP-1,1
T-VAS-OUT-2,09:40:00,09:40:00,STOP-2,2
T-VAS-OUT-2,09:50:00,09:50:00,STOP-3,3
T-VAS-OUT-2,10:00:00,10:00:00,STOP-4,4
T-VAS-OUT-2,10:30:00,10:30:00,STOP-5,5
T-VAS-OUT-3,11:00:00,11:00:00,STOP-1,1
T-VAS-OUT-3,11:10:00,11:10:00,STOP-2,2
T-VAS-OUT-3,11:20:00,11:20:00,STOP-3,3
T-VAS-OUT-3,11:30:00,11:30:00,STOP-4,4
T-VAS-OUT-3,12:00:00,12:00:00,STOP-5,5
T-VAS-OUT-4,14:00:00,14:00:00,STOP-1,1
T-VAS-OUT-4,14:10:00,14:10:00,STOP-2,2
T-VAS-OUT-4,14:20:00,14:20:00,STOP-3,3
T-VAS-OUT-4,14:30:00,14:30:00,STOP-4,4
T-VAS-OUT-4,15:00:00,15:00:00,STOP-5,5
T-VAS-OUT-5,18:50:00,18:50:00,STOP-1,1
T-VAS-OUT-5,19:00:00,19:00:00,STOP-2,2
T-VAS-OUT-5,19:10:00,19:10:00,STOP-3,3
T-VAS-OUT-5,19:20:00,19:20:00,STOP-4,4
T-VAS-OUT-5,19:50:00,19:50:00,STOP-5,5
T-VAS-IN-1,07:00:00,07:00:00,STOP-5,1
T-VAS-IN-1,07:30:00,07:30:00,STOP-4,2
T-VAS-IN-1,07:40:00,07:40:00,STOP-3,3
T-VAS-IN-1,07:50:00,07:50:00,STOP-2,4
T-VAS-IN-1,08:00:00,08:00:00,STOP-1,5
T-VAS-IN-2,11:00:00,11:00:00,STOP-5,1
T-VAS-IN-2,11:30:00,11:30:00,STOP-4,2
T-VAS-IN-2,11:40:00,11:40:00,STOP-3,3
T-VAS-IN-2,11:50:00,11:50:00,STOP-2,4
T-VAS-IN-2,12:00:00,12:00:00,STOP-1,5
T-VAS-IN-3,13:45:00,13:45:00,STOP-5,1
T-VAS-IN-3,14:15:00,14:15:00,STOP-4,2
T-VAS-IN-3,14:25:00,14:25:00,STOP-3,3
T-VAS-IN-3,14:35:00,14:35:00,STOP-2,4
T-VAS-IN-3,14:45:00,14:45:00,STOP-1,5
T-VAS-IN-4,15:45:00,15:45:00,STOP-5,1
T-VAS-IN-4,16:15:00,16:15:00,STOP-4,2
T-VAS-IN-4,16:25:00,16:25:00,STOP-3,3
T-VAS-IN-4,16:35:00,16:35:00,STOP-2,4
T-VAS-IN-4,16:45:00,16:45:00,STOP-1,5
T-VAS-IN-5,20:30:00,20:30:00,STOP-5,1
T-VAS-IN-5,21:00:00,21:00:00,STOP-4,2
T-VAS-IN-5,21:10:00,21:10:00,STOP-3,3
T-VAS-IN-5,21:20:00,21:20:00,STOP-2,4
T-VAS-IN-5,21:30:00,21:30:00,STOP-1,5
T-NYD-OUT-1,07:30:00,07:30:00,STOP-1,1
T-NYD-OUT-1,07:40:00,07:40:00,STOP-2,2
T-NYD-OUT-1,07:50:00,07:50:00,STOP-3,3
T-NYD-OUT-1,08:00:00,08:00:00,STOP-4,4
T-NYD-OUT-2,08:10:00,08:10:00,STOP-1,1
T-NYD-OUT-2,08:20:00,08:20:00,STOP-2,2
T-NYD-OUT-2,08:30:00,08:30:00,STOP-3,3
T-NYD-OUT-2,08:40:00,08:40:00,STOP-4,4
T-NYD-OUT-3,09:00:00,09:00:00,STOP-1,1
T-NYD-OUT-3,09:10:00,09:10:00,STOP-2,2
T-NYD-OUT-3,09:20:00,09:20:00,STOP-3,3
T-NYD-OUT-3,09:30:00,09:30:00,STOP-4,4
T-NYD-OUT-4,10:50:00,10:50:00,STOP-1,1
T-NYD-OUT-4,11:00:00,11:00:00,STOP-2,2
T-NYD-OUT-4,11:10:00,11:10:00,STOP-3,3
T-NYD-OUT-4,11:20:00,11:20:00,STOP-4,4
T-NYD-OUT-5,12:30:00,12:30:00,STOP-1,1
T-NYD-OUT-5,12:40:00,12:40:00,STOP-2,2
T-NYD-OUT-5,12:50:00,12:50:00,STOP-3,3
T-NYD-OUT-5,13:00:00,13:00:00,STOP-4,4
T-NYD-OUT-6,14:00:00,14:00:00,STOP-1,1
T-NYD-OUT-6,14:10:00,14:10:00,STOP-2,2
T-NYD-OUT-6,14:20:00,14:20:00,STOP-3,3
T-NYD-OUT-6,14:30:00,14:30:00,STOP-4,4
T-NYD-OUT-7,15:30:00,15:30:00,STOP-1,1
T-NYD-OUT-7,15:40:00,15:40:00,STOP-2,2
T-NYD-OUT-7,15:50:00,15:50:00,STOP-3,3
T-NYD-OUT-7,16:00:00,16:00:00,STOP-4,4
T-NYD-OUT-8,17:45:00,17:45:00,STOP-1,1
T-NYD-OUT-8,17:55:00,17:55:00,STOP-2,2
T-NYD-OUT-8,18:05:00,18:05:00,STOP-3,3
T-NYD-OUT-8,18:15:00,18:15:00,STOP-4,4
T-NYD-OUT-9,18:45:00,18:45:00,STOP-1,1
T-NYD-OUT-9,18:55:00,18:55:00,STOP-2,2
T-NYD-OUT-9,19:05:00,19:05:00,STOP-3,3
T-NYD-OUT-9,19:15:00,19:15:00,STOP-4,4
T-NYD-OUT-10,20:30:00,20:30:00,STOP-1,1
T-NYD-OUT-10,20:40:00,20:40:00,STOP-2,2
T-NYD-OUT-10,20:50:00,20:50:00,STOP-3,3
T-NYD-OUT-10,21:00:00,21:00:00,STOP-4,4
T-NYD-OUT-11,22:00:00,22:00:00,STOP-1,1
T-NYD-OUT-11,22:10:00,22:10:00,STOP-2,2
T-NYD-OUT-11,22:20:00,22:20:00,STOP-3,3
T-NYD-OUT-11,22:30:00,22:30:00,STOP-4,4
T-NYD-OUT-12,23:15:00,23:15:00,STOP-1,1
T-NYD-OUT-12,23:25:00,23:25:00,STOP-2,2
T-NYD-OUT-12,23:35:00,23:35:00,STOP-3,3
T-NYD-OUT-12,23:45:00,23:45:00,STOP-4,4
T-NYD-IN-1,07:35:00,07:35:00,STOP-4,1
T-NYD-IN-1,07:45:00,07:45:00,STOP-3,2
T-NYD-IN-1,07:55:00,07:55:00,STOP-2,3
T-NYD-IN-1,08:05:00,08:05:00,STOP-1,4
T-NYD-IN-2,08:45:00,08:45:00,STOP-4,1
T-NYD-IN-2,08:55:00,08:55:00,STOP-3,2
T-NYD-IN-2,09:05:00,09:05:00,STOP-2,3
T-NYD-IN-2,09:15:00,09:15:00,STOP-1,4
T-NYD-IN-3,10:00:00,10:00:00,STOP-4,1
T-NYD-IN-3,10:10:00,10:10:00,STOP-3,2
T-NYD-IN-3,10:20:00,10:20:00,STOP-2,3
T-NYD-IN-3,10:30:00,10:30:00,STOP-1,4
T-NYD-IN-4,11:30:00,11:30:00,STOP-4,1
T-NYD-IN-4,11:40:00,11:40:00,STOP-3,2
T-NYD-IN-4,11:50:00,11:50:00,STOP-2,3
T-NYD-IN-4,12:00:00,12:00:00,STOP-1,4
T-NYD-IN-5,13:15:00,13:15:00,STOP-4,1
T-NYD-IN-5,13:25:00,13:25:00,STOP-3,2
T-NYD-IN-5,13:35:00,13:35:00,STOP-2,3
T-NYD-IN-5,13:45:00,13:45:00,STOP-1,4
T-NYD-IN-6,14:15:00,14:15:00,STOP-4,1
T-NYD-IN-6,14:25:00,14:25:00,STOP-3,2
T-NYD-IN-6,14:35:00,14:35:00,STOP-2,3
T-NYD-IN-6,14:45:00,14:45:00,STOP-1,4
T-NYD-IN-7,15:30:00,15:30:00,STOP-4,1
T-NYD-IN-7,15:40:00,15:40:00,STOP-3,2
T-NYD-IN-7,15:50:00,15:50:00,STOP-2,3
T-NYD-IN-7,16:00:00,16:00:00,STOP-1,4
T-NYD-IN-8,16:15:00,16:15:00,STOP-4,1
T-NYD-IN-8,16:25:00,16:25:00,STOP-3,2
T-NYD-IN-8,16:35:00,16:35:00,STOP-2,3
T-NYD-IN-8,16:45:00,16:45:00,STOP-1,4
T-NYD-IN-9,18:30:00,18:30:00,STOP-4,1
T-NYD-IN-9,18:40:00,18:40:00,STOP-3,2
T-NYD-IN-9,18:50:00,18:50:00,STOP-2,3
T-NYD-IN-9,19:00:00,19:00:00,STOP-1,4
T-NYD-IN-10,19:30:00,19:30:00,STOP-4,1
T-NYD-IN-10,19:40:00,19:40:00,STOP-3,2
T-NYD-IN-10,19:50:00,19:50:00,STOP-2,3
T-NYD-IN-10,20:00:00,20:00:00,STOP-1,4
T-NYD-IN-11,21:00:00,21:00:00,STOP-4,1
T-NYD-IN-11,21:10:00,21:10:00,STOP-3,2
T-NYD-IN-11,21:20:00,21:20:00,STOP-2,3
T-NYD-IN-11,21:30:00,21:30:00,STOP-1,4
T-NYD-IN-12,22:45:00,22:45:00,STOP-4,1
T-NYD-IN-12,22:55:00,22:55:00,STOP-3,2
T-NYD-IN-12,23:05:00,23:05:00,STOP-2,3
T-NYD-IN-12,23:15:00,23:15:00,STOP-1,4
T-NYD-IN-13,23:45:00,23:45:00,STOP-4,1
T-NYD-IN-13,23:55:00,23:55:00,STOP-3,2
T-NYD-IN-13,24:05:00,24:05:00,STOP-2,3
T-NYD-IN-13,24:15:00,24:15:00,STOP-1,4
T-AGN-OUT-1,06:30:00,06:30:00,STOP-1,1
T-AGN-OUT-1,07:00:00,07:00:00,STOP-6,2
T-AGN-OUT-2,10:45:00,10:45:00,STOP-1,1
T-AGN-OUT-2,11:15:00,11:15:00,STOP-6,2
T-AGN-OUT-3,12:30:00,12:30:00,STOP-1,1
T-AGN-OUT-3,13:00:00,13:00:00,STOP-6,2
