stop_id,stop_name,stop_lat,stop_lon
STOP-1,Λευκάδα,38.826111,20.711813
STOP-2,Λυγιά,38.792181,20.718331
STOP-3,Νικιάνα,38.756798,20.719621
STOP-4,Νυδρί,38.710399,20.713615
STOP-5,Βασιλική,38.628917,20.609497
STOP-6,Αγ. Νικήτας,38.7887672,20.6143783
STOP-7,Παραλία Κάθισμα,38.777275,20.602412
STOP-8,Κάστρο-Γύρα,38.845545,20.718132
STOP-9,Βλυχό,38.686500,20.697400
STOP-10,Καλαμίτσι,38.7581707,20.6029066
STOP-11,Καρυά,38.759200,20.648300
STOP-12,Εγκλουβή,38.727600,20.639100
STOP-13,Πόρος,38.640500,20.704200
STOP-14,Κατωχώρι,38.665780,20.691458
STOP-15,Σύβοτα,38.624908,20.681251
STOP-16,Φτερνό,38.656435,20.685602
STOP-17,Βουρνικά,38.668482,20.653791
STOP-18,Σύβρος,38.669498,20.645972
STOP-19,Αγ. Ηλία,38.689685,20.645879
STOP-20,Αθάνι,38.660100,20.568400
